52|MAP|5.0|1300590491|  6.680|  38.499|  14.9|ETHIOPIA
53|MAP|4.6|1300590383| 36.859| 141.036|  52.8|NEAR THE EAST COAST OF HONSHU, JAPAN
54|MAP|4.5|1300588015| 38.471| 144.930|  25.9|OFF THE EAST COAST OF HONSHU, JAPAN
55|MAP|4.9|1300585331| 38.558| 142.354|  24.7|NEAR THE EAST COAST OF HONSHU, JAPAN
56|MAP|4.7|1300583442| 39.315| 143.200|  71.5|OFF THE EAST COAST OF HONSHU, JAPAN
57|MAP|4.8|1300579449| 39.245| 142.220|  66.2|NEAR THE EAST COAST OF HONSHU, JAPAN
58|MAP|4.6|1300565675| 39.908| 144.443|  41.6|OFF THE EAST COAST OF HONSHU, JAPAN
59|MAP|4.8|1300563760| 12.912|  92.436|  27.8|ANDAMAN ISLANDS, INDIA REGION
60|MAP|4.8|1300560714| 37.116| 143.756|  34.6|OFF THE EAST COAST OF HONSHU, JAPAN
61|MAP|4.7|1300559433| 39.400| 144.321|  24.3|OFF THE EAST COAST OF HONSHU, JAPAN
62|MAP|4.7|1300558556| 39.934| 144.359|  25.8|OFF THE EAST COAST OF HONSHU, JAPAN
63|MAP|4.7|1300557547| 36.359| 143.182|  25.0|OFF THE EAST COAST OF HONSHU, JAPAN
64|MAP|6.1|1300553811| 36.810| 140.375|  24.9|NEAR THE EAST COAST OF HONSHU, JAPAN
65|MAP|4.5|1300552349| 37.388| 144.680|  26.8|OFF THE EAST COAST OF HONSHU, JAPAN
66|MAP|4.8|1300545673| 37.874| 142.894|  31.5|OFF THE EAST COAST OF HONSHU, JAPAN
67|MAP|2.7|1300545345| 51.550|-175.765|  11.1|ANDREANOF ISLANDS, ALEUTIAN IS., ALASKA
68|MAP|4.9|1300542787| 39.924| 143.011|  31.7|OFF THE EAST COAST OF HONSHU, JAPAN
69|MAP|4.6|1300542189| 36.228| 141.040|  48.9|NEAR THE EAST COAST OF HONSHU, JAPAN
70|MAP|4.8|1300539844| 38.440| 144.620|  26.8|OFF THE EAST COAST OF HONSHU, JAPAN
71|MAP|4.9|1300529074| 37.595| 144.323|  33.7|OFF THE EAST COAST OF HONSHU, JAPAN
72|MAP|4.8|1300528555| 37.702| 141.732|  25.8|NEAR THE EAST COAST OF HONSHU, JAPAN
73|MAP|5.2|1300527227|  0.812|  97.439|  31.8|NIAS REGION, INDONESIA
74|MAP|5.4|1300523235| 39.578| 142.446|  24.8|NEAR THE EAST COAST OF HONSHU, JAPAN
75|MAP|5.9|1300522963| 39.659| 143.177|   9.2|OFF THE EAST COAST OF HONSHU, JAPAN
76|MAP|4.7|1300521432| 36.860| 141.127|  65.2|NEAR THE EAST COAST OF HONSHU, JAPAN
77|MAP|4.6|1300520182|  6.144| 126.682|  68.9|MINDANAO, PHILIPPINES
78|MAP|4.6|1300518994| 39.891| 143.387|  35.8|OFF THE EAST COAST OF HONSHU, JAPAN
79|MAP|4.8|1300517961| 38.359| 144.097|  28.9|OFF THE EAST COAST OF HONSHU, JAPAN
80|MAP|5.1|1300517347| 37.804| 141.845|  34.9|NEAR THE EAST COAST OF HONSHU, JAPAN
81|MAP|5.2|1300516470| 24.243| 125.279|  34.1|SOUTHWESTERN RYUKYU ISLANDS, JAPAN
82|MAP|5.6|1300516380| 39.145| 142.486|  27.7|NEAR THE EAST COAST OF HONSHU, JAPAN
83|MAP|4.7|1300514898| 39.919| 142.391|  41.9|NEAR THE EAST COAST OF HONSHU, JAPAN
84|MAP|4.7|1300510192| 28.140|  56.383|   9.9|SOUTHERN IRAN
85|MAP|5.0|1300508335| 36.154| 141.174|  48.4|NEAR THE EAST COAST OF HONSHU, JAPAN
86|MAP|5.2|1300507774| 37.485| 145.051|  15.1|OFF THE EAST COAST OF HONSHU, JAPAN
87|MAP|4.8|1300505556| 37.300| 141.509|  42.1|NEAR THE EAST COAST OF HONSHU, JAPAN
88|MAP|4.9|1300504525| 39.698| 143.086|  32.8|OFF THE EAST COAST OF HONSHU, JAPAN
89|MAP|5.2|1300503187| 37.596| 141.479|  63.5|NEAR THE EAST COAST OF HONSHU, JAPAN
90|MAP|4.9|1300501161| 36.492| 142.600|  36.2|OFF THE EAST COAST OF HONSHU, JAPAN
91|MAP|4.8|1300501007| 39.760| 143.169|  32.4|OFF THE EAST COAST OF HONSHU, JAPAN
92|MAP|5.0|1300498369| 39.158| 142.299|  46.2|NEAR THE EAST COAST OF HONSHU, JAPAN
93|MAP|4.6|1300495729| 36.898| 143.229|  35.8|OFF THE EAST COAST OF HONSHU, JAPAN
94|MAP|5.1|1300494533| 35.125| 141.484|  24.5|NEAR THE EAST COAST OF HONSHU, JAPAN
95|MAP|4.8|1300490609| 39.249| 143.358|  24.7|OFF THE EAST COAST OF HONSHU, JAPAN
96|MAP|4.8|1300485781| 36.723| 143.111|  49.0|OFF THE EAST COAST OF HONSHU, JAPAN
97|MAP|4.8|1300483876| 37.657| 143.395|  33.5|OFF THE EAST COAST OF HONSHU, JAPAN
98|MAP|5.0|1300480721| 37.707| 143.323|  25.1|OFF THE EAST COAST OF HONSHU, JAPAN
99|MAP|4.7|1300478231| 40.033| 144.290|  28.6|OFF THE EAST COAST OF HONSHU, JAPAN
100|MAP|4.8|1300476066| 37.997| 142.342|  32.6|OFF THE EAST COAST OF HONSHU, JAPAN
101|MAP|5.0|1300475821| 38.930| 142.447|  31.7|NEAR THE EAST COAST OF HONSHU, JAPAN
102|MAP|4.7|1300469949| 37.311| 144.387|  42.0|OFF THE EAST COAST OF HONSHU, JAPAN
103|MAP|4.6|1300467251| 51.296|-178.042|  33.0|ANDREANOF ISLANDS, ALEUTIAN IS., ALASKA
104|MAP|4.5|1300466187| 43.046|  74.902|  10.0|CENTRAL KAZAKHSTAN
105|MAP|5.3|1300460494| 35.775| 140.869|  24.2|NEAR THE EAST COAST OF HONSHU, JAPAN
